answer_id,question_id,answer_text,is_correct
1,1,Answer 1 for question 1,True
2,1,Answer 2 for question 1,False
3,1,Answer 3 for question 1,False
4,1,Answer 4 for question 1,False
5,2,Answer 1 for question 2,True
6,2,Answer 2 for question 2,False
7,2,Answer 3 for question 2,False
8,2,Answer 4 for question 2,False
9,3,Answer 1 for question 3,True
10,3,Answer 2 for question 3,False
11,3,Answer 3 for question 3,False
12,3,Answer 4 for question 3,False
13,4,Answer 1 for question 4,True
14,4,Answer 2 for question 4,False
15,4,Answer 3 for question 4,False
16,4,Answer 4 for question 4,False
17,5,Answer 1 for question 5,True
18,5,Answer 2 for question 5,False
19,5,Answer 3 for question 5,False
20,5,Answer 4 for question 5,False
21,6,Answer 1 for question 6,True
22,6,Answer 2 for question 6,False
23,6,Answer 3 for question 6,False
24,6,Answer 4 for question 6,False
25,7,Answer 1 for question 7,True
26,7,Answer 2 for question 7,False
27,7,Answer 3 for question 7,False
28,7,Answer 4 for question 7,False
29,8,Answer 1 for question 8,True
30,8,Answer 2 for question 8,False
31,8,Answer 3 for question 8,False
32,8,Answer 4 for question 8,False
33,9,Answer 1 for question 9,True
34,9,Answer 2 for question 9,False
35,9,Answer 3 for question 9,False
36,9,Answer 4 for question 9,False
37,10,Answer 1 for question 10,True
38,10,Answer 2 for question 10,False
39,10,Answer 3 for question 10,False
40,10,Answer 4 for question 10,False
